ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
8045,2015,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1078,37
8046,2014,Cerebrovascular diseases (I60-I69),Stroke,Nevada,948,33.8
8047,2013,Cerebrovascular diseases (I60-I69),Stroke,Nevada,905,33.3
8048,2012,Cerebrovascular diseases (I60-I69),Stroke,Nevada,897,34.3
8049,2011,Cerebrovascular diseases (I60-I69),Stroke,Nevada,889,36
8050,2010,Cerebrovascular diseases (I60-I69),Stroke,Nevada,796,33.3
8051,2009,Cerebrovascular diseases (I60-I69),Stroke,Nevada,859,36.9
8052,2008,Cerebrovascular diseases (I60-I69),Stroke,Nevada,906,40.8
8053,2007,Cerebrovascular diseases (I60-I69),Stroke,Nevada,850,39.8
8054,2006,Cerebrovascular diseases (I60-I69),Stroke,Nevada,847,41.3
8055,2005,Cerebrovascular diseases (I60-I69),Stroke,Nevada,945,48.2
8056,2004,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1030,54.6
8057,2003,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1028,57.8
8058,2002,Cerebrovascular diseases (I60-I69),Stroke,Nevada,976,57.7
8059,2001,Cerebrovascular diseases (I60-I69),Stroke,Nevada,913,55.4
8060,2000,Cerebrovascular diseases (I60-I69),Stroke,Nevada,872,56.5
8061,1999,Cerebrovascular diseases (I60-I69),Stroke,Nevada,882,59.4
8062,2016,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,490,28
8063,2015,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,457,26.9
8064,2014,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,474,28.9
8065,2013,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,441,27.6
8066,2012,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,457,29.3
8067,2011,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,490,32.3
8068,2010,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,500,33.5
8069,2009,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,499,34.1
8070,2008,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,484,33.9
8071,2007,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,489,34.8
8072,2006,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,494,36.1
8073,2005,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,497,37.7
8074,2004,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,586,45.6
8075,2003,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,536,43
8076,2002,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,627,51.3
8077,2001,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,633,52.9
8078,2000,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,662,56.4
8079,1999,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,669,57.9
8080,2016,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3401,30.4
8081,2015,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3413,31.1
8082,2014,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3419,31.4
8083,2013,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3456,32.4
8084,2012,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3440,32.7
8085,2011,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3418,32.9
8086,2010,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3402,33.4
8087,2009,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3265,32.6
8088,2008,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3264,33.1
8089,2007,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3492,36
8090,2006,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3468,36.3
8091,2005,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3614,38.5
8092,2004,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3781,40.8
8093,2003,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3966,43.1
8094,2002,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4016,44.3
8095,2001,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4007,44.8
8096,2000,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4316,49
8097,1999,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,4122,47.5
8098,2016,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,885,35.5
8099,2015,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,786,32.5
8100,2014,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,822,34.7
8101,2013,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,689,30
8102,2012,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,677,30.3
8103,2011,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,727,33.5
8104,2010,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,806,38.4
8105,2009,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,726,35.2
8106,2008,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,760,38.3
8107,2007,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,804,41.3
8108,2006,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,739,39.3
8109,2005,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,730,40.1
8110,2004,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,721,41.1
8111,2003,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,770,44.6
8112,2002,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,715,42.2
8113,2001,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,824,50.1
8114,2000,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,813,50.6
8115,1999,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,817,52.5
8116,2016,Cerebrovascular diseases (I60-I69),Stroke,New York,6258,25.5
8117,2015,Cerebrovascular diseases (I60-I69),Stroke,New York,6292,26
8118,2014,Cerebrovascular diseases (I60-I69),Stroke,New York,6212,26.1
8119,2013,Cerebrovascular diseases (I60-I69),Stroke,New York,6176,26.3
8120,2012,Cerebrovascular diseases (I60-I69),Stroke,New York,6139,26.6
8121,2011,Cerebrovascular diseases (I60-I69),Stroke,New York,6254,27.6
8122,2010,Cerebrovascular diseases (I60-I69),Stroke,New York,6213,27.9
8123,2009,Cerebrovascular diseases (I60-I69),Stroke,New York,5950,27
8124,2008,Cerebrovascular diseases (I60-I69),Stroke,New York,6123,28.2
8125,2007,Cerebrovascular diseases (I60-I69),Stroke,New York,6160,28.8
8126,2006,Cerebrovascular diseases (I60-I69),Stroke,New York,6398,30.4
8127,2005,Cerebrovascular diseases (I60-I69),Stroke,New York,6622,31.7
8128,2004,Cerebrovascular diseases (I60-I69),Stroke,New York,6927,33.7
8129,2003,Cerebrovascular diseases (I60-I69),Stroke,New York,7281,35.7
8130,2002,Cerebrovascular diseases (I60-I69),Stroke,New York,7625,37.9
8131,2001,Cerebrovascular diseases (I60-I69),Stroke,New York,7706,38.8
8132,2000,Cerebrovascular diseases (I60-I69),Stroke,New York,8006,40.9
8133,1999,Cerebrovascular diseases (I60-I69),Stroke,New York,8124,42.2
8134,2016,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4940,43
8135,2015,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5033,44.7
8136,2014,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4702,43
8137,2013,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4503,42.4
8138,2012,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4410,42.8
8139,2011,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4299,43.2
8140,2010,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4298,44.7
8141,2009,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4442,47.2
8142,2008,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4637,50.8
8143,2007,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4530,51.1
8144,2006,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4572,53.2
8145,2005,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4861,59
8146,2004,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,4955,61.7
8147,2003,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5203,66.4
8148,2002,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5259,68.8
8149,2001,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5401,72.1
8150,2000,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5749,78.5
8151,1999,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5626,77.9
8152,2016,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,311,32.7
8153,2015,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,308,33.4
8154,2014,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,325,35.5
8155,2013,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,306,32.4
8156,2012,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,343,37.3
8157,2011,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,37.2
8158,2010,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,382,42.9
8159,2009,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,38.2
8160,2008,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,325,37.2
8161,2007,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,330,37.9
8162,2006,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,428,49.6
8163,2005,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,368,43
8164,2004,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,475,55.4
8165,2003,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,476,56.7
8166,2002,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,469,55.4
8167,2001,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,507,60.8
8168,2000,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,456,55.6
8169,1999,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,513,63
8170,2016,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5987,40.6
8171,2015,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5945,40.7
8172,2014,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5791,40
8173,2013,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5690,39.9
8174,2012,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5788,41.2
8175,2011,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5691,41.3
8176,2010,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5755,42.6
8177,2009,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5576,41.8
8178,2008,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5951,45.2
8179,2007,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5905,45.5
8180,2006,Cerebrovascular diseases (I60-I69),Stroke,Ohio,5828,45.7
8181,2005,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6279,50.2
8182,2004,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6501,52.8
8183,2003,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6910,56.6
8184,2002,Cerebrovascular diseases (I60-I69),Stroke,Ohio,7252,60.3
8185,2001,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6891,58.1
8186,2000,Cerebrovascular diseases (I60-I69),Stroke,Ohio,7175,61.2
8187,1999,Cerebrovascular diseases (I60-I69),Stroke,Ohio,7235,62.3
8188,2016,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1859,41.8
8189,2015,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1881,43
8190,2014,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1847,43
8191,2013,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1880,44.5
8192,2012,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1893,45.7
8193,2011,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1864,45.8
8194,2010,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1980,50
8195,2009,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,1961,50.1
8196,2008,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2079,54
8197,2007,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2126,56.2
8198,2006,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2085,55.7
8199,2005,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2235,60.9
8200,2004,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2183,60.3
8201,2003,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2485,68.9
8202,2002,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2427,67.5
8203,2001,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2384,66.4
8204,2000,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2493,69.5
8205,1999,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,2481,69.6
8206,2016,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1943,37.8
8207,2015,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1873,37.5
8208,2014,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1821,37.4
8209,2013,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1775,37.3
8210,2012,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1763,37.5
8211,2011,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1913,41.6
8212,2010,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1793,40.1
8213,2009,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1912,43.5
8214,2008,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1899,44.1
8215,2007,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1835,43.7
8216,2006,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1978,48.2
8217,2005,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2289,57.2
8218,2004,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2328,59.5
8219,2003,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2554,66.7
8220,2002,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2645,70.4
8221,2001,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2588,70.2
8222,2000,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2585,71.6
8223,1999,Cerebrovascular diseases (I60-I69),Stroke,Oregon,2799,78.6
8224,2016,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6730,37
8225,2015,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6987,38.8
8226,2014,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6576,36.7
8227,2013,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6604,37.2
8228,2012,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6546,37.4
8229,2011,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6825,39.6
8230,2010,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6701,39.3
8231,2009,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6842,40.7
8232,2008,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6942,41.9
8233,2007,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7152,43.4
8234,2006,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7151,44.2
8235,2005,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7650,48
8236,2004,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,7792,49.6
8237,2003,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,8261,52.8
8238,2002,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,8579,55.6
8239,2001,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,8619,56.4
8240,2000,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,8919,59
8241,1999,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,8600,57.5
8242,2016,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,399,26.8
8243,2015,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,394,27.1
8244,2014,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,373,25.6
8245,2013,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,397,27.7
8246,2012,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,433,30.6
8247,2011,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,404,29.4
8248,2010,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,431,31.4
8249,2009,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,429,31.4
8250,2008,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,462,34.1
8251,2007,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,457,33.4
8252,2006,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,421,31.2
8253,2005,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,533,39.9
8254,2004,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,522,39.8
8255,2003,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,565,42.9
8256,2002,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,605,46.7
8257,2001,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,614,48.2
8258,2000,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,577,45.6
8259,1999,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,633,50.4
8260,2016,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2627,45.5
8261,2015,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2600,46.7
8262,2014,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2393,44.2
8263,2013,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2508,47.6
8264,2012,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2349,45.9
8265,2011,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2287,46.3
8266,2010,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2293,47.9
8267,2009,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2400,51.3
8268,2008,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2394,52.6
8269,2007,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2466,55.8
8270,2006,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2291,53.8
8271,2005,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2458,60.2
8272,2004,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2643,66.5
8273,2003,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2748,71.2
8274,2002,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2822,74.4
8275,2001,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2832,76.2
8276,2000,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2956,81.4
8277,1999,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,2974,83.4
8278,2016,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,420,35.8
8279,2015,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,383,33.2
8280,2014,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,439,38.8
8281,2013,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,418,38
8282,2012,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,408,37.4
8283,2011,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,444,42.3
8284,2010,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,416,39.9
8285,2009,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,418,40.2
8286,2008,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,396,39.1
8287,2007,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,410,40.2
8288,2006,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,442,44
8289,2005,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,511,52.7
8290,2004,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,469,48.7
8291,2003,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,476,50.4
8292,2002,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,518,54.9
8293,2001,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,490,52.9
8294,2000,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,560,61.6
8295,1999,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,547,60
8296,2016,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3508,46
8297,2015,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3447,46
8298,2014,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3326,45.8
8299,2013,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3157,44.4
8300,2012,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3120,44.9
8301,2011,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3218,47.5
8302,2010,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3205,48.7
8303,2009,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3156,48.7
8304,2008,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3356,53.1
8305,2007,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3450,55.9
8306,2006,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3407,56.4
8307,2005,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3659,62.7
8308,2004,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3680,64.6
8309,2003,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3883,69.2
8310,2002,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,3980,71.6
8311,2001,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,4037,73.1
8312,2000,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,4266,78.5
8313,1999,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,4103,76.3
8314,2016,Cerebrovascular diseases (I60-I69),Stroke,Texas,10673,42
8315,2015,Cerebrovascular diseases (I60-I69),Stroke,Texas,10485,42.7
8316,2014,Cerebrovascular diseases (I60-I69),Stroke,Texas,9898,41.6
8317,2013,Cerebrovascular diseases (I60-I69),Stroke,Texas,9283,40.2
8318,2012,Cerebrovascular diseases (I60-I69),Stroke,Texas,9305,41.8
8319,2011,Cerebrovascular diseases (I60-I69),Stroke,Texas,9065,41.9
8320,2010,Cerebrovascular diseases (I60-I69),Stroke,Texas,9180,44.4
8321,2009,Cerebrovascular diseases (I60-I69),Stroke,Texas,9137,45.2
8322,2008,Cerebrovascular diseases (I60-I69),Stroke,Texas,9629,49.2
8323,2007,Cerebrovascular diseases (I60-I69),Stroke,Texas,9796,51.5
8324,2006,Cerebrovascular diseases (I60-I69),Stroke,Texas,9366,50.4
8325,2005,Cerebrovascular diseases (I60-I69),Stroke,Texas,9366,52.4
8326,2004,Cerebrovascular diseases (I60-I69),Stroke,Texas,9853,56.9
8327,2003,Cerebrovascular diseases (I60-I69),Stroke,Texas,10303,60.8
8328,2002,Cerebrovascular diseases (I60-I69),Stroke,Texas,10548,63.6
8329,2001,Cerebrovascular diseases (I60-I69),Stroke,Texas,10612,65
8330,2000,Cerebrovascular diseases (I60-I69),Stroke,Texas,10684,66.5
8331,1999,Cerebrovascular diseases (I60-I69),Stroke,Texas,10414,65.9
8332,2016,Cerebrovascular diseases (I60-I69),Stroke,United States,142142,37.3
8333,2015,Cerebrovascular diseases (I60-I69),Stroke,United States,140323,37.6
8334,2014,Cerebrovascular diseases (I60-I69),Stroke,United States,133103,36.5
8335,2013,Cerebrovascular diseases (I60-I69),Stroke,United States,128978,36.2
8336,2012,Cerebrovascular diseases (I60-I69),Stroke,United States,128546,36.9
8337,2011,Cerebrovascular diseases (I60-I69),Stroke,United States,128932,37.9
8338,2010,Cerebrovascular diseases (I60-I69),Stroke,United States,129476,39.1
